title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
번 더 스테이지: 더 무비,한국,상영 시간 정보 없음,전체 관람가,박준수,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
폴란드로 간 아이들,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,추상미,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
소울,애니메이션,러닝 타임 중앙값 이상,전체 관람가,피트 닥터,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
엽기적인 그녀,코미디,러닝 타임 중앙값 이상,15세 관람가,곽재용,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
뷰티풀 투모로우,드라마,러닝 타임 중앙값 미만,12세 관람가,장재혁,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
라따뚜이,코미디,러닝 타임 중앙값 이상,전체 관람가,브래드 버드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
록키,드라마,러닝 타임 중앙값 이상,12세 관람가,존 G. 아빌드센,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
다이 하드,액션,러닝 타임 중앙값 이상,15세 관람가,존 맥티어난,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
바이센테니얼 맨,SF,러닝 타임 중앙값 이상,전체 관람가,크리스 콜럼버스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
바람계곡의 나우시카,애니메이션,러닝 타임 중앙값 이상,전체 관람가,미야자키 하야오,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
시월애,드라마,러닝 타임 중앙값 이상,12세 관람가,이현승,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
반지의 제왕: 반지 원정대,판타지,러닝 타임 중앙값 이상,12세 관람가,피터 잭슨,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
타잔,애니메이션,러닝 타임 중앙값 미만,전체 관람가,케빈 리마,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
8월의 크리스마스,드라마,러닝 타임 중앙값 이상,15세 관람가,허진호,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
몬스터 주식회사 3D,애니메이션,러닝 타임 중앙값 미만,전체 관람가,피트 닥터,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
오페라의 유령 : 25주년 특별 공연,공연실황,러닝 타임 중앙값 이상,전체 관람가,캐머런 맥킨토시,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
12번째 솔저,전쟁,러닝 타임 중앙값 이상,12세 관람가,해럴드 즈워트,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
라이온 킹,애니메이션,러닝 타임 중앙값 미만,전체 관람가,로저 알러스,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
허스토리,드라마,러닝 타임 중앙값 이상,12세 관람가,민규동,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
교회오빠,다큐멘터리,러닝 타임 중앙값 미만,전체 관람가,이호경,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
"나, 다니엘 블레이크",드라마,러닝 타임 중앙값 이상,12세 관람가,켄 로치,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
일급 살인,드라마,러닝 타임 중앙값 이상,15세 관람가,마크 로코,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
내 이름은 칸,드라마,러닝 타임 중앙값 이상,12세 관람가,카란 조하르,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
천녀유혼,판타지,러닝 타임 중앙값 이상,12세 관람가,정소동,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
보디가드,액션,러닝 타임 중앙값 미만,15세 관람가,원규,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
영웅: 샐러멘더의 비밀,액션,러닝 타임 중앙값 이상,15세 관람가,알렉산드르 야킴추크,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
뽀로로 극장판 보물섬 대모험,애니메이션,러닝 타임 중앙값 미만,전체 관람가,김현호,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
동방불패,액션,러닝 타임 중앙값 이상,15세 관람가,정소동,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
언플랜드,드라마,러닝 타임 중앙값 이상,15세 관람가,척 콘젤만,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
플립,멜로/로맨스,러닝 타임 중앙값 미만,12세 관람가,로브 라이너,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
자백,다큐멘터리,러닝 타임 중앙값 이상,15세 관람가,최승호,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
인생,드라마,러닝 타임 중앙값 이상,15세 관람가,장이머우,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
우리들,드라마,러닝 타임 중앙값 이상,전체 관람가,윤가은,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
퀸 락 몬트리올,다큐멘터리,러닝 타임 중앙값 이상,전체 관람가,솔 스위머,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
취권 2,액션,러닝 타임 중앙값 이상,15세 관람가,유가량,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
공동경비구역 JSA,드라마,러닝 타임 중앙값 이상,15세 관람가,박찬욱,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
빌리 엘리어트 뮤지컬 라이브,공연실황,러닝 타임 중앙값 이상,전체 관람가,스티븐 달드리,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
천국의 아이들,드라마,러닝 타임 중앙값 미만,전체 관람가,마지드 마지디,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
명탐정 코난: 베이커가의 망령,애니메이션,러닝 타임 중앙값 이상,12세 관람가,코다마 켄지,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
극장판 귀멸의 칼날: 무한열차편,애니메이션,러닝 타임 중앙값 이상,15세 관람가,소토자키 하루오,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
세상에서 가장 아름다운 이별,드라마,러닝 타임 중앙값 이상,15세 관람가,민규동,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
더 코브: 슬픈 돌고래의 진실,다큐멘터리,러닝 타임 중앙값 미만,12세 관람가,루이 시호요스,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
말할 수 없는 비밀,멜로/로맨스,러닝 타임 중앙값 이상,12세 관람가,주걸륜,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
맨발의 꿈,드라마,러닝 타임 중앙값 이상,전체 관람가,김태균,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
바람,드라마,러닝 타임 중앙값 이상,청소년 관람불가,이성한,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
마이클 잭슨의 디스 이즈 잇,다큐멘터리,러닝 타임 중앙값 이상,전체 관람가,케니 오테가,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
에이트 빌로우,모험,러닝 타임 중앙값 이상,전체 관람가,프랭크 마샬,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
브레이브하트,액션,러닝 타임 중앙값 이상,15세 관람가,멜 깁슨,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
랜드 오브 마인,드라마,러닝 타임 중앙값 이상,15세 관람가,마틴 잔드블리엣,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
도가니,드라마,러닝 타임 중앙값 이상,청소년 관람불가,황동혁,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 미만,명작
"미안해요, 리키",드라마,러닝 타임 중앙값 이상,12세 관람가,켄 로치,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
가타카,SF,러닝 타임 중앙값 이상,15세 관람가,앤드류 니콜,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
소년시절의 너,멜로/로맨스,러닝 타임 중앙값 이상,15세 관람가,증국상,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 미만,명작
이웃집 토토로,애니메이션,러닝 타임 중앙값 미만,전체 관람가,미야자키 하야오,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
드래곤 길들이기 3,애니메이션,러닝 타임 중앙값 이상,전체 관람가,딘 데블로이스,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
또 하나의 약속,드라마,러닝 타임 중앙값 이상,12세 관람가,김태윤,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
본 얼티메이텀,액션,러닝 타임 중앙값 이상,12세 관람가,폴 그린그래스,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
터미네이터,SF,러닝 타임 중앙값 이상,청소년 관람불가,제임스 카메론,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
온리 더 브레이브,드라마,러닝 타임 중앙값 이상,12세 관람가,조셉 코신스키,연출작 개수 중앙값 미만,주연의 출연작 개수 중앙값 이상,명작
신데렐라 맨,드라마,러닝 타임 중앙값 이상,전체 관람가,론 하워드,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
패밀리 맨,코미디,러닝 타임 중앙값 이상,15세 관람가,브렛 래트너,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
토이 스토리 2,애니메이션,러닝 타임 중앙값 미만,전체 관람가,존 라세터,연출작 개수 중앙값 이상,주연의 출연작 개수 중앙값 이상,명작
