,title,genre,running_time,screening_rat,director,dir_movies,main_role_movies,rating
8394,라스트 글래디에이터,다큐멘터리,94분,상영등급 정보 없음,알렉스 기브니,33개,4개,평점 중앙값 이상의 작품
8395,라스트 나이트 인 로지,드라마,80분,상영등급 정보 없음,션 가넷,2개,연기자 없음,평점 중앙값 미만의 작품
8396,라스트 나잇 앳 디 알라모,코미디,84분,상영등급 정보 없음,이글 펜넬,3개,31개,평점 중앙값 이상의 작품
8397,라스트 댄스,스릴러,83분,상영등급 정보 없음,토니 마키스,11개,1개,평점 중앙값 미만의 작품
8398,라스트 댄스,드라마,103분,청소년 관람불가,브루스 베레스포드,30개,81개,평점 중앙값 미만의 작품
8399,라스트 더 맥스,액션,80분,상영등급 정보 없음,아다모 P. 컬트라로,4개,39개,평점 중앙값 미만의 작품
8400,라스트 데이 오브 프리덤,다큐멘터리,32분,상영등급 정보 없음,디 히버트-존스,1개,연기자 없음,평점 중앙값 이상의 작품
8401,라스트 데이스 오브 아메리칸 크라임,액션,149분,청소년 관람불가,올리비에 메가턴,9개,23개,평점 중앙값 미만의 작품
8402,라스트 데이즈 오브 사이먼,코미디,상영 시간 정보 없음,상영등급 정보 없음,에릭 피셔,1개,5개,평점 중앙값 이상의 작품
8403,라스트 데이즈 인 베트남,다큐멘터리,98분,상영등급 정보 없음,로리 케네디,8개,연기자 없음,평점 중앙값 이상의 작품
8404,라스트 데이즈 히어,다큐멘터리,91분,NR,돈 아고트,9개,1개,평점 중앙값 이상의 작품
8405,라스트 도그맨,모험,118분,12세 관람가,탭 머피,10개,82개,평점 중앙값 이상의 작품
8406,라스트 디치 테라피,코미디,19분,상영등급 정보 없음,마리아나 라다스,1개,2개,평점 중앙값 이상의 작품
8407,라스트 라운드업,장르 정보 없음,상영 시간 정보 없음,NR,헨리 헤서웨이,65개,35개,평점 중앙값 이상의 작품
8408,라스트 라이언스,다큐멘터리,88분,상영등급 정보 없음,데릭 주버트,3개,64개,평점 중앙값 이상의 작품
8409,라스트 라이트,드라마,미국,상영등급 정보 없음,키퍼 서덜랜드,91개,111개,평점 중앙값 이상의 작품
8410,라스트 라이트 오브 더 데드,공포,118분,상영등급 정보 없음,마크 프라토,4개,2개,평점 중앙값 미만의 작품
8411,라스트 러브 인 뉴욕,멜로/로맨스,102분,15세 관람가,에드 스톤,5개,45개,평점 중앙값 이상의 작품
8412,라스트 런,장르 정보 없음,상영 시간 정보 없음,NR,리처드 플레이셔,50개,51개,평점 중앙값 이상의 작품
8413,라스트 리마크스,드라마,17분,상영등급 정보 없음,우마르 리아즈,1개,1개,평점 중앙값 미만의 작품
